samples,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
zjtkae3-1011,0,0,0,0,4.9900036,4.952518,0,0,0,0,4.7880416,0,0.41089225,0,0,0,0,2.9551122,0,0,2.755715,5.7083726,0,0.52871096,1.1274731,0,0,0,0,0,9.368578,0,0,6.8711343,8.689377,2.317693,0,2.640515,2.7649796,0,0.7209071,2.4745426,0.2855392,0,0.03906005,0,6.312699,3.360638,1.3078971,0,0,0,0,0,5.154807,0,0,0,10.221189,1.8764019,0,0,0,7.440182,1.346581,2.3507974,5.0014944,0,0,0,0,0,0,3.807774,0,1.7456295,0.07431443,0,0,0.10681831,0,0,0,0,0.3814,0,0,0,0,4.183687,1.6341463,0,0,3.8516886,3.8689215,7.666556,0,0,6.398849,0.015438318,0,0.33878273,3.6097107,0,0,6.229857,2.5359,0,0.98363864,3.716396
zjtkae3-2012,0,0,4.084478,0,0.4756484,7.0679164,0,0.65279627,0,0,0,0,13.24079,0,1.2272649,1.3221344,0,0,6.8507986,0,0,12.316628,0,1.5846765,0,0,0,0,0,0,0.8935759,0,0,3.5693502,11.495368,7.55113,0,6.407574,0,0,0,7.987156,13.458124,4.2303834,0,0,4.3379364,3.1381526,0,0,5.8759475,0,0,0,0,0,0,0,6.9012885,2.3481805,2.331538,0,0.06080058,5.445475,0,1.0373067,0,0,0,0,0,0,0,1.1323881,0,0,0,0,8.953491,0,0,5.2393575,0,7.690797,0,0,0,0,0,4.6147704,2.3493764,0,0,3.943928,0,9.547317,0,0,4.099585,0,0,4.2219925,0,0,0,2.2300663,0,0,0,0
zjtkae3-2013,0,0,1.7575873,0,1.3853886,6.3615866,0.216557,0.30802667,0,0,0,0,11.564395,0,2.7589889,0,0,0,7.1687465,0,0,15.820365,0,2.8120606,0,0,0,0,0,0,0,0.10394634,0,0,13.028895,8.7838125,0,8.770217,0,0,0,6.747607,15.585068,0.7754394,0,0,7.752708,1.5837796,0,0,7.39239,0,0,0,0,0,0,0,3.8209274,3.50744,2.2864337,0,1.7533841,4.53683,0,0,0,0,0,0,0,0,0,4.1838217,0,0.8509719,0,0,8.544153,0,0,3.9192374,0,10.891665,0,0,0,1.1787108,0,4.274897,5.3570085,0,0,4.5257187,0,8.889777,0,1.3216944,6.7705293,0,0,6.4294333,0,0,0,3.0729747,0,0,0,0
zjtkae3-2014,0,0,0,0,2.338433,1.9783833,2.136906,0,0,1.363454,0.9658981,0,1.3588301,0,1.9158348,0,0,0.050200112,1.460365,0,0.8854445,1.0527445,3.5722265,2.705407,0,0,0,0,0,0,1.173153,2.9468222,0,1.8108943,2.805685,0.4924242,0,0,1.5778425,0,0,1.768484,2.0437148,2.8449323,1.5652684,0,2.9561834,2.3790557,1.7525548,0,1.338669,0,0,0,1.3500181,0,0,0,4.7502112,3.3048275,2.6108866,0,0,0.1266264,0.41037628,1.5507141,0,0,0,0.8800279,0,0,0,2.1572394,0,2.7788885,0,0,1.8593005,0,0,0.64389485,0,1.452942,1.7339076,0,0,1.1828347,0,1.7153578,0.032658093,0,0,2.1856039,4.3947797,2.1453748,0,0,2.000954,2.37567,0,3.668883,1.3680625,1.2266471,0,5.0530334,1.1171925,0,0,5.5002036
zjtkae3-2015,0,0,0,0,0,0.1132898,0,0,0,3.2851615,7.4531536,0,0,4.66449,0,0,0,5.2507734,0.8101173,0,0,0,0,0.96694314,3.7674127,0,0,0,0,0,3.5862644,0,4.0570207,4.3409376,2.2885685,3.351648,1.8897328,5.1208625,4.841138,0,2.4769201,0,0,0,0,0,1.5080435,4.458943,1.7377738,0,0,0,0,0,4.1886125,4.0622115,0,0,2.5378387,1.6110759,0,0,0.67687744,0,1.7235011,3.2679825,1.4540095,1.0136896,0,0,0,4.526157,0,4.60857,0,2.3889172,0,1.3993192,0,4.630427,0,2.1928594,0,0,0,0,0,1.3366585,0,1.8263545,0,0,0,6.747543,5.1576986,7.010522,0,0,0,2.5865724,0.27134803,4.595791,3.3661907,0,0,5.40161,3.1514964,0,0,5.2059574
zjtkae3-6011,0,0,0,0.5987866,0,0,3.2531495,0,0,0.35971558,1.8250338,0,0,7.4387665,0,0,0,1.7114309,0,0,0,0.9351518,0,0.20330048,3.2803042,0.50355434,0,0,0.59196573,0,0,0,3.1962543,0,0,0,3.533785,1.4890959,0.6295618,1.0407168,1.9529124,0,0,0,0.9876172,0,0,0.15627575,3.7418094,0,1.4654683,0,0,0.074694276,0,4.0301375,0,0,0,0,0,0,2.950527,0,0.15362602,3.7298808,0,3.2216082,0,0,0,5.7251663,0,6.2544966,0,0,0,0,0,4.094168,0,0,0,3.2690904,0.104316756,0,0,3.0648882,0,0,0.87773997,0,0,3.3583088,3.3194363,4.135933,0,0,0,0.8141936,3.3744028,4.881134,0.3775882,0,0,0.044988386,0,0,0,0
zjtkae3-6021,0,0,0,0,4.593108,4.5866175,0,0,0,0.5524248,4.4678245,0,0,1.8912629,2.5878417,0,0,8.921142,0,0,4.5098987,0,1.5146495,0,0,0,0,0,0,0,9.493618,0.11976849,0.25805712,10.90689,13.277254,11.402357,0,2.0977278,4.3941693,0,3.5724444,10.114704,7.0991216,4.498859,1.3062252,0,6.6058345,3.5308936,5.396966,0,0,0,0,0,0.008567542,0,0,0,5.309719,7.510768,0,0,0,0,2.533368,7.729657,0.32268953,0,0,0,0,0,0,9.688953,1.6153497,3.248291,0,0,0.31864846,0,0,5.757783,0,0,0,0,0,2.309009,0,5.321131,3.1021543,0,0,8.233925,14.127442,9.143631,0,0,2.4969392,0.14599556,0,5.9862638,2.8845057,0,0,10.864789,3.4240513,0,0,15.163338
zjtkae3-6031,0,0,4.799174,0,0.20971823,9.456193,1.1060073,0,0,0,6.6403923,0,4.314952,4.1503863,1.7731422,0,0,0,3.9346304,0.07693177,0,7.755049,0,1.5963289,0,0,0,0,0,0,2.797411,0,0,6.1199336,2.242769,5.226605,5.124936,4.0584726,0.76207626,0,1.8809571,7.871633,3.669571,2.4990122,0,0,3.2317884,0,1.2081221,0,0,0,0,0,0,0,0,0,9.14866,0,0,0,0,3.6619356,3.195343,1.0200825,1.1601505,0,0,0,0,0,0,0,2.8476596,1.9575181,1.1647345,0,6.519518,0,0,4.7971396,0,3.9440649,0,0,2.7360597,0,0,3.4162169,0,0,0,5.988321,0.001414089,6.1092196,0,0,7.3262863,0,0,1.5792301,0.18865272,0,0,6.3512454,0,0,0.10770476,0
zjxc41n-01,0,0,0,0,2.0215065,1.2086486,1.2535428,0,0,0,2.158719,0,0.5906173,0.09878567,1.1940261,0,0,1.7853051,1.7149028,0,1.2394295,1.5784702,3.0262463,2.2220445,0,0,0,0,0,0,0.47586656,2.891108,0,2.1489742,3.2597466,1.0511525,0.33503217,0,2.6205192,0,0.9617171,1.5799235,0.84600353,0,1.8858408,0,2.6615636,1.2854171,1.2633437,0,0.77061075,0,0,0,0,0,0,0,2.6192584,2.922188,0.41374192,0,0.05152679,0.5383236,1.2487576,1.7430025,1.780417,0.028518222,0,0.4428116,0,0.22385949,0,2.0639684,0,2.2686079,0,0,2.285824,0,0,2.012021,0,2.8103905,0.16804582,0,0,1.0818375,0,2.001838,0,0,0,1.9477117,1.7131188,1.1489608,0,0,1.5347995,1.293405,0,2.6310236,1.5823247,0.18996969,0,4.5535774,0.7845615,0,0,2.798527
zjxc41n-011,0,0,0,0,0,2.9499848,1.8361547,0,0,0.92229784,0,0,4.201608,0,1.4231578,0,0,0,2.2262828,1.658127,0,0,0,5.509348,0,0,0,0,0,0,0,1.6750481,1.3584281,0,1.5175589,0,1.9560052,1.1293602,1.3166701,0,4.330401,0,0.53191525,0,5.47399,0,2.606911,0,0,0,0.39677393,0,0,0,2.7880847,1.8816212,0.18664804,0,3.1209364,0,4.282243,0,0,4.385644,1.1314342,0,0.6839612,0.6488954,0,0,0,0,0,4.0605865,0,2.9503562,0,4.833188,0.081363834,0,0,0,0,1.4702097,0,0,0.17126948,0,0,0,3.6941762,5.913407,1.5381664,3.5199428,0,1.9493612,0,1.6538286,0.41579446,0,0,0,7.2410436,3.8357577,0,0,0.9660623,4.8884654,0,0.48205876
