samples,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
hsm7j4ko,0.026893267,0.10792491,0.36044037,0,0.35283318,0.044617504,0.2725878,0.22663686,0.3776075,0.21572034,0.15470897,0.10029894,0.23095848,0,0.28117207,0,0,0,0.007618055,0,0,0.14662267,0.077506684,0.35741404,0,0.09884929,0.33984247,0,0.058051854,0.016606338,0.265448,0,0.07220759,0.099460095,0.3364617,0.6078784,0.059742633,0,0.21107103,0.27961802,0,0.27695882,0.020423885,0.27247754,0.14227906,0.3622705,0,0,0.04364714,0.090228364,0,0.114686206,0.12420293,0.3896311,0.12579156,0.43267953,0,0.0274516,0,0.03700062,0.24724174,0.12918587,0,0,0,0.057999797,0,0.24731904,0.16582997,0,0.32367992,0.21608303,0.20824295,0,0.19578554,0.20134859,0,0.008535143,0.16559023,0.07837208,0,0.01955708,0,0.09790724,0.03642547,0.53151953,0.012427442,0.22706783,0.14374766,0.074489094,0.006112333,0,0,0.3310148,0.13447762,0.09172998,0.040086973,0,0,0.19244498,0,0,0.26434222,0.3964831,0,0,0.08214438,0,0.38524637,0.22013374
msm79heu,0.13309464,0,0.21831909,0,0.13956928,0,0,0.13753113,0.35006583,0.03938001,0.33146077,0.20158626,0,0.3970377,0.3903533,0.17176785,0.20888096,0,0.6229652,0.20011191,0,0.12117334,0.7023548,0.086108156,0,0.008191228,0,0,0,0.4769545,0,0,0.22751078,0.07804856,0.19492596,0.34652096,0.6169639,0,0.2697899,0.2992802,0,0,0,0.32059368,0.17523275,0,0,0,0,0,0.3414098,0,0,0,0.12577772,0.33012807,0,0.22326046,0,0.10107775,0.10109636,0.01327754,0,0,0,0.094711155,0.0579554,0.3065603,0.20579627,0.11735372,0.23972408,0,0.096421175,0,0.48949978,0.542885,0.449597,0,0.13040192,0.09214366,0,0,0.12494776,0,0.035978593,0.87708795,0,0,0.19587307,0.23128471,0.20382953,0,0,0.5198959,0.05976923,0.06748732,0,0.14964196,0,0.049249567,0,0.4342308,0,0,0,0,0,0,0.20086415,0.15671633
psm7j15q,0,1.3129718,1.0595446,0,1.6285851,0,0,0,0.5442591,0,0,0.7222316,0.6034825,0,0.912357,0,0,0,0,0,0,1.1279647,0,0.33582017,0,2.3370075,0.73531014,0.44319054,0,0,0,0,1.3191289,0,0.13504088,0.168035,0,0.08686498,1.0438789,0,1.5115032,1.9432688,1.8947423,0,0.7196335,0,0,0,0,0.012096483,0,0.3502807,0,0.6089816,1.0825227,0.32308063,0,0.046084017,0,0,0,0,0.54546034,0,0,0,0.64078194,1.0629919,0,0,0,0,0.64739203,0,0,0,0,1.6032052,0,0.5447971,0,0,0,0.016649097,0,0,0,2.1396081,0,0.27519518,0,0,0,0,0,0.2647159,0,0,0,1.4654027,1.8120221,0,0,0,0,0.65278333,0.20643601,0.31775725,0,0
esm7f5ae,0.1619905,0.4468806,0.38009363,0,0.20154175,0.009044737,0,0,0.49997386,0,0,0.067633666,0.06604063,0,0.35904935,0,0,0,0,0,0,0.21311186,0,0.064358346,0,0.09483021,0.17345552,0,0.44374326,0.10522005,0.2342252,0.62895286,0.13961834,0.022474736,0.18581837,0.6208398,0,0,0.24661519,0.13763513,0,0.24939367,0,0.3739106,0,0.15792954,0,0,0.11587143,0.036731828,0,0.14236215,0.24592048,0.5623847,0.15690254,0.2585518,0,0.19616115,0,0.167949,0.10517178,0.09167841,0,0,0.38940433,0,0,0.26901892,0.34003934,0,0.2966413,0.13836394,0.20146438,0,0.1784047,0,0,0.21209186,0.1278617,0,0.071006134,0,0.3101059,0.17470582,0.17023954,0.28046054,0,0.14111802,0.20040224,0.19423929,0.06833613,0,0,0,0.095930174,0.043820526,0.065372616,0,0,0,0.5240048,0,0.28545243,0.26871768,0,0.11998508,0.07873091,0.11586046,0.040475335,0.23730615
csm67ugo,0,0.66177225,0.72344357,0,0,1.4022763,0,0,0.8077084,0,1.3416691,0.43703923,0.5488536,0,1.0890354,0,0,0,0.622198,0,0.043725956,0,0,0.81007826,0.24606246,0,0.94722706,0,0,0.29391828,0,0.50552976,0.85241383,0,2.1988306,0.84992516,0.36863816,0,0.53795254,0,0.9453665,1.0301523,0.42374912,0.3062254,0,0,0,0,0,0.027601983,0,0.27054828,0.75122356,0,1.1613603,0.87848943,0,0,0,1.9657836,0,0,0.45235065,0,0,0,0.31030536,1.0300179,0.46215385,0,0,0,0.262591,0,1.3477858,0.20981976,0.004043553,0,0.28425413,0,0,1.9323438,0,1.5757066,0,0.68093157,0,0.7437986,0.5417065,0,0,0,0,2.2516727,0,0,0,0.004276445,0,0,0,0.007455736,0.9377116,1.5568272,0,0,0.48769432,0,0,0
csm79hmt,0,0.23105337,1.2002224,0,1.0152146,0.4301058,0.5961787,0,0,0,0.11979826,0,0,0.1578929,0.0948395,0,0,0,0.12351285,0,0,0.09699234,0,0,0,0,0.794259,0,0.11880623,0,0,0,0.26237354,0,0.55707395,0.3096905,0.041919764,0,0.18856478,0.035042744,0.25208583,0,0.06377073,0.42558452,0,0,0,0,0,0,0.030916648,0.78576404,0.020816915,0.9223357,0,1.3717871,0,0,0,0.07101358,0.52893746,0.6660866,0.09936241,0,0.6760741,0,0,0.14722154,0.59542507,0,0.060073428,0,0.20523554,0,0.68682057,0,0,0,0,0,0.25877866,1.157376,1.1612964,0.34663492,1.077929,0.86845064,0,0.17514725,0.045469187,0,0,0,0,0.5597608,0.16422793,0.16114992,0,0,0,0.028697517,0,0,0.32806668,0.6455068,0,0,1.5547781,0.25698563,0.28348732,0.049168356
csm79hn6,0,0.63368756,0,0,0,0,0.44767576,0,0.44787738,0,0,0.101711884,0,0.9926568,0.20792863,0,0,0.9727811,0.71230644,0,0,0,0,0,0,0,0,0.006312765,0.98577094,0,0,0.09101841,1.60213,0,0,0,0.4882446,0,0,0,0,0.697666,0,2.2198527,0.3053884,0,0,0,0,0,0,0.35975558,1.0629728,0,0,0.56132555,0,0.38036254,1.9184446,0.15425012,0.43540916,0.29581618,0.1299972,0,0.5354494,0,0,0,1.9169285,1.638742,1.1793807,0,0,0,2.0510337,0,0,0,0,0,0.2866517,0,0.21275538,0,2.4625986,0.1481671,0,0,0,0,0,0,0,1.0099463,0,0.7183902,1.0002376,0,0.43101963,0,0,0,1.2679939,0,0,0,0,0,0,1.1988891
csm7koqx,0.14430383,0.08401335,0.36250156,0,0.39527375,0,0.38072735,0.2167776,0.21025963,0,0,0.21946579,0.12553442,0,0.31156483,0,0,0,0.16257769,0,0,0.19802077,0.29853362,0.39593402,0,0.1151379,0.23332812,0,0,0.3907635,0.13807781,0,0,0.16746385,0.3345772,0.536384,0.093529426,0,0.02548549,0.46850005,0,0.37060863,0.032531165,0.3677481,0.34436244,0.36552587,0,0,0.027040297,0,0,0.27046758,0.22319424,0.43390447,0.17376749,0.34076658,0,0,0,0.17386174,0.5977969,0.4427791,0,0,0,0,0,0.1840981,0.13078305,0,0.42435372,0,0.25712308,0,0.16653441,0.31840825,0,0,0.11065484,0.07241218,0.013826687,0.09985841,0.09586381,0.124003254,0.32332626,0.49154204,0,0.116106,0.008724297,0.049144957,0.12434085,0,0,0.37557927,0,0.089453496,0,0,0,0,0,0,0.17392579,0.3985467,0,0,0.09579706,0,0.29920352,0.085047334
csm7kor4,0.043842867,0.10953109,0.35866076,0,0.32949975,0.06517653,0.71616006,0.2697864,0.2722466,0,0.011233419,0.25002274,0.122616366,0.025634184,0.3822153,0,0,0,0.23413977,0,0,0.109235495,0.24222848,0.646158,0,0.046635784,0.17213267,0,0,0.387192,0.096154876,0,0,0.31063837,0.46440738,0.41600013,0.137632,0,0,0.43419904,0,0.4747789,0,0.5813601,0.26001772,0.31536305,0,0,0,0,0,0.601431,0.28554556,0.45120013,0.15947388,0.3265702,0,0,0,0.16085793,0.7979504,0.6477007,0.007618733,0,0,0,0,0.31304508,0.0176787,0,0.5177953,0,0.07764728,0,0.35499415,0.4343665,0,0,0.029925749,0,0.08671608,0.124382034,0.12120683,0.16782854,0.50327736,0.700047,0,0.1331028,0,0,0.12843885,0,0,0.48937592,0,0,0,0,0,0,0,0,0.3154601,0.30824736,0,0,0.27164197,0,0.5295233,0.06364915
esm5mee2,0.005836655,0,1.2224472,0,0.45329216,0,0,0,0,0,0.61170065,0.84081984,1.3876847,0.2275771,0.6342122,0.77574915,0,0.71988964,0.36288956,1.1890148,0.82948864,1.455493,0.73861194,0,0,0,0,0,0,1.3226573,0.06456964,0.003781952,0,0,0.31127235,1.0036838,1.3704902,0,0.6256668,0.56319267,0,0.048490174,0,0.50927407,0,0.24173144,0,0,0,0.40995136,0,0,0,0.050293654,0.03424543,0.589562,0.00758024,0,0,0,0.0749667,0,0,0,0,0,0,0.18333453,0,0,0.11934705,0,0,0.004382841,0,1.5860264,1.6069471,0.5157146,0.22188097,0.25389975,0,0,0.37106496,0.060142454,0.62727976,1.0314949,0,0,0,0.71842873,0,0,0,0.16447793,0,0,0,0,0,0.002633438,0,0.4075802,0.030036546,0,0,0,0,0.087283395,0,0.5903816
